Group,ROUGE-1,ROUGE-L,BERTScore
A,0.2778±0.1615,0.2202±0.1497,0.5353±0.1221
B,0.2485±0.1181,0.1834±0.0946,0.5178±0.1041
C,0.2653±0.1228,0.1982±0.0981,0.5300±0.1064
D,0.2416±0.1272,0.1885±0.1149,0.5157±0.1071
